EndDt,CPI_YoY,CPIPPI_Dval
1993-05-31,"114.0000","-12.0000"
1993-06-30,"115.1000","-10.2000"
1993-07-31,"116.2000","-9.5000"
1993-08-31,"116.4000","-9.5000"
1993-09-30,"115.7000","-8.9000"
1993-10-31,"115.9000","-8.2000"
1993-11-30,"116.7000","-5.8000"
1993-12-31,"118.8000","-3.2000"
1994-01-31,"121.1000","2.5000"
1994-02-28,"123.2000","6.7000"
1994-03-31,"122.4000","4.5000"
1994-04-30,"121.7000","2.1000"
1994-05-31,"121.3000","1.1000"
1994-06-30,"122.6000","3.5000"
1994-07-31,"124.0000","3.9000"
1994-08-31,"125.8000","7.7000"
1994-09-30,"127.3000","8.8000"
1994-10-31,"127.7000","9.5000"
1994-11-30,"127.5000","7.6000"
1994-12-31,"125.5000","5.6000"
1995-01-31,"124.1000","3.4000"
1995-02-28,"122.4000","2.2000"
1995-03-31,"121.3000","1.8000"
1995-04-30,"120.7000","3.6000"
1995-05-31,"120.3000","6.4000"
1995-06-30,"118.2000","4.4000"
1995-07-31,"116.7000","3.2000"
1995-08-31,"114.5000","1.6000"
1995-09-30,"113.2000","0.3000"
1995-10-31,"112.1000","-0.4000"
1995-11-30,"111.2000","0.1000"
1995-12-31,"110.1000","1.3000"
1996-01-31,"109.0000","0.6000"
1996-02-29,"109.3000","2.2000"
1996-03-31,"109.8000","5.5000"
1996-04-30,"109.7000","6.7000"
1996-05-31,"108.9000","6.2000"
1996-06-30,"108.6000","6.3000"
1996-07-31,"108.3000","6.6000"
1996-08-31,"108.1000","6.6000"
1996-09-30,"107.4000","6.6000"
1996-10-31,"107.0000","6.7000"
1996-11-30,"106.9000","6.9000"
1996-12-31,"107.0000","6.6000"
1997-01-31,"105.9000","5.8000"
1997-02-28,"105.6000","5.2000"
1997-03-31,"104.0000","3.5000"
1997-04-30,"103.2000","3.1000"
1997-05-31,"102.8000","2.7000"
1997-06-30,"102.8000","3.2000"
1997-07-31,"102.7000","3.3000"
1997-08-31,"101.9000","2.8000"
1997-09-30,"101.8000","2.7000"
1997-10-31,"101.5000","2.4000"
1997-11-30,"101.1000","1.7000"
1997-12-31,"100.4000","1.3000"
1998-01-31,"100.3000","1.6000"
1998-02-28,"99.9000","2.5000"
1998-03-31,"100.7000","3.9000"
1998-04-30,"99.7000","3.4000"
1998-05-31,"99.0000","3.5000"
1998-06-30,"98.7000","3.6000"
1998-07-31,"98.6000","3.6000"
1998-08-31,"98.6000","4.1000"
1998-09-30,"98.5000","2.7000"
1998-10-31,"98.9000","4.6000"
1998-11-30,"98.8000","4.2000"
1998-12-31,"99.0000","2.8000"
1999-01-31,"98.8000","3.7000"
1999-02-28,"98.7000","3.6000"
1999-03-31,"98.2000","2.8000"
1999-04-30,"97.8000","1.7000"
1999-05-31,"97.8000","1.2000"
1999-06-30,"97.9000","1.5000"
1999-07-31,"98.6000","1.1000"
1999-08-31,"98.7000","1.0000"
1999-09-30,"99.2000","1.3000"
1999-10-31,"99.4000","0.1000"
1999-11-30,"99.1000","0.2000"
1999-12-31,"99.0000","-0.2000"
2000-01-31,"99.8000","-0.2000"
2000-02-29,"100.7000","-0.3000"
2000-03-31,"99.8000","-2.1000"
2000-04-30,"99.7000","-2.9000"
2000-05-31,"100.1000","-2.4000"
2000-06-30,"100.5000","-2.4000"
2000-07-31,"100.5000","-4.0000"
2000-08-31,"100.3000","-3.6000"
2000-09-30,"100.0000","-3.7000"
2000-10-31,"100.0000","-3.6000"
2000-11-30,"101.3000","-2.2000"
2000-12-31,"101.5000","-1.3000"
2001-01-31,"101.2000","-0.2300"
2001-02-28,"100.0000","-0.8600"
2001-03-31,"100.8000","0.6000"
2001-04-30,"101.6000","1.7000"
2001-05-31,"101.7000","1.9000"
2001-06-30,"101.4000","2.0000"
2001-07-31,"101.5000","2.8000"
2001-08-31,"101.0000","3.0000"
2001-09-30,"99.9000","2.8000"
2001-10-31,"100.2000","3.3000"
2001-11-30,"99.7000","3.4000"
2001-12-31,"99.7000","3.7000"
2002-01-31,"99.0000","2.9900"
2002-02-28,"100.0000","4.0900"
2002-03-31,"99.2000","3.2200"
2002-04-30,"98.7000","1.7600"
2002-05-31,"98.9000","1.5300"
2002-06-30,"99.2000","1.6800"
2002-07-31,"99.1000","1.4400"
2002-08-31,"99.3000","1.0300"
2002-09-30,"99.3000","0.6800"
2002-10-31,"99.2000","0.2300"
2002-11-30,"99.3000","-0.2900"
2002-12-31,"99.6000","-0.8100"
2003-01-31,"100.4000","-1.9900"
2003-02-28,"100.2000","-3.7700"
2003-03-31,"100.9000","-3.6600"
2003-04-30,"101.0000","-2.5800"
2003-05-31,"100.7000","-1.3000"
2003-06-30,"100.3000","-1.0000"
2003-07-31,"100.5000","-0.8700"
2003-08-31,"100.9000","-0.4700"
2003-09-30,"101.1000","-0.2600"
2003-10-31,"101.8000","0.5800"
2003-11-30,"103.0000","1.0300"
2003-12-31,"103.2000","0.2000"
2004-01-31,"103.2000","-0.3000"
2004-02-29,"102.1000","-1.4500"
2004-03-31,"103.0000","-0.9500"
2004-04-30,"103.8000","-1.2100"
2004-05-31,"104.4000","-1.3300"
2004-06-30,"105.0000","-1.4300"
2004-07-31,"105.3000","-1.1100"
2004-08-31,"105.3000","-1.5600"
2004-09-30,"105.2000","-2.7600"
2004-10-31,"104.3000","-4.1600"
2004-11-30,"102.8000","-5.3300"
2004-12-31,"102.4000","-4.6500"
2005-01-31,"101.9000","-3.9000"
2005-02-28,"103.9000","-1.4700"
2005-03-31,"102.7000","-2.9500"
2005-04-30,"101.8000","-3.9500"
2005-05-31,"101.8000","-4.2100"
2005-06-30,"101.6000","-3.6400"
2005-07-31,"101.8000","-3.3900"
2005-08-31,"101.3000","-4.0000"
2005-09-30,"100.9000","-3.6200"
2005-10-31,"101.2000","-2.7900"
2005-11-30,"101.3000","-1.9000"
2005-12-31,"101.6000","-1.6600"
2006-01-31,"101.9000","-1.1600"
2006-02-28,"100.9000","-2.1500"
2006-03-31,"100.8000","-1.6900"
2006-04-30,"101.2000","-0.6600"
2006-05-31,"101.4000","-1.0500"
2006-06-30,"101.5000","-2.0100"
2006-07-31,"101.0000","-2.5500"
2006-08-31,"101.3000","-2.0800"
2006-09-30,"101.5000","-1.9400"
2006-10-31,"101.4000","-1.5700"
2006-11-30,"101.9000","-0.9000"
2006-12-31,"102.8000","-0.2900"
2007-01-31,"102.2000","-1.1300"
2007-02-28,"102.7000","0.1100"
2007-03-31,"103.3000","0.6300"
2007-04-30,"103.0000","0.1600"
2007-05-31,"103.4000","0.6300"
2007-06-30,"104.4000","1.8700"
2007-07-31,"105.6000","3.2300"
2007-08-31,"106.5000","3.9600"
2007-09-30,"106.2000","3.5300"
2007-10-31,"106.5000","3.2900"
2007-11-30,"106.9000","2.3900"
2007-12-31,"106.5000","1.0800"
2008-01-31,"107.1000","1.0100"
2008-02-29,"108.7000","2.1200"
2008-03-31,"108.3000","0.3600"
2008-04-30,"108.5000","0.3600"
2008-05-31,"107.7000","-0.5000"
2008-06-30,"107.1000","-1.7600"
2008-07-31,"106.3000","-3.7300"
2008-08-31,"104.9000","-5.1600"
2008-09-30,"104.6000","-4.4900"
2008-10-31,"104.0000","-2.6200"
2008-11-30,"102.4000","0.4400"
2008-12-31,"101.2000","2.3400"
2009-01-31,"101.0000","4.2500"
2009-02-28,"98.4000","2.9100"
2009-03-31,"98.8000","4.8200"
2009-04-30,"98.5000","5.1000"
2009-05-31,"98.6000","5.8300"
2009-06-30,"98.3000","6.1500"
2009-07-31,"98.2000","6.4100"
2009-08-31,"98.8000","6.6600"
2009-09-30,"99.2000","6.2000"
2009-10-31,"99.5000","5.2700"
2009-11-30,"100.6000","2.6400"
2009-12-31,"101.9000","0.1600"
2010-01-31,"101.5304","-2.7900"
2010-02-28,"102.6953","-2.6900"
2010-03-31,"102.3707","-3.5400"
2010-04-30,"102.8136","-4.0000"
2010-05-31,"103.0613","-4.0700"
2010-06-30,"102.9499","-3.5100"
2010-07-31,"103.3042","-1.5400"
2010-08-31,"103.4794","-0.8400"
2010-09-30,"103.6056","-0.7200"
2010-10-31,"104.3655","-0.6700"
2010-11-30,"105.1192","-0.9400"
2010-12-31,"104.5859","-1.3400"
2011-01-31,"104.9000","-1.7300"
2011-02-28,"104.9000","-2.2900"
2011-03-31,"105.4000","-1.9300"
2011-04-30,"105.3000","-1.4800"
2011-05-31,"105.5000","-1.2800"
2011-06-30,"106.4000","-0.7600"
2011-07-31,"106.5000","-1.0900"
2011-08-31,"106.2000","-1.1000"
2011-09-30,"106.1000","-0.4500"
2011-10-31,"105.5000","0.5000"
2011-11-30,"104.2000","1.5000"
2011-12-31,"104.1000","2.3800"
2012-01-31,"104.5000","3.7700"
2012-02-29,"103.2000","3.1300"
2012-03-31,"103.5856","3.9100"
2012-04-30,"103.3653","4.0700"
2012-05-31,"103.0008","4.4000"
2012-06-30,"102.1504","4.2300"
2012-07-31,"101.7790","4.6500"
2012-08-31,"102.0450","5.5200"
2012-09-30,"101.9126","5.4600"
2012-10-31,"101.7000","4.4800"
2012-11-30,"102.0369","4.2400"
2012-12-31,"102.5226","4.4600"
2013-01-31,"102.0000","3.6700"
2013-02-28,"103.2198","4.8500"
2013-03-31,"102.0696","3.9900"
2013-04-30,"102.3861","5.0100"
2013-05-31,"102.0981","4.9700"
2013-06-30,"102.6684","5.3700"
2013-07-31,"102.6741","4.9400"
2013-08-31,"102.5666","4.1900"
2013-09-30,"103.0519","4.3900"
2013-10-31,"103.2058","4.7200"
2013-11-30,"103.0180","4.4400"
2013-12-31,"102.4987","3.8600"
2014-01-31,"102.4861","4.0900"
2014-02-28,"101.9511","3.9700"
2014-03-31,"102.3848","4.6800"
2014-04-30,"101.8014","3.8000"
2014-05-31,"102.4773","3.8800"
2014-06-30,"102.3361","3.4500"
2014-07-31,"102.2852","3.1600"
2014-08-31,"101.9909","3.1900"
2014-09-30,"101.6275","3.4300"
2014-10-31,"101.6011","3.8400"
2014-11-30,"101.4393","4.1300"
2014-12-31,"101.5056","4.8300"
2015-01-31,"100.7638","5.0800"
2015-02-28,"101.4311","6.2300"
2015-03-31,"101.3758","5.9400"
2015-04-30,"101.5091","6.0800"
2015-05-31,"101.2308","5.8400"
2015-06-30,"101.3909","6.2000"
2015-07-31,"101.6473","6.9700"
2015-08-31,"101.9554","7.8600"
2015-09-30,"101.5956","7.5000"
2015-10-31,"101.2674","7.1700"
2015-11-30,"101.4856","7.3900"
2015-12-31,"101.6370","7.5400"
2016-01-31,"101.7518","7.0500"
2016-02-29,"102.2843","7.1800"
2016-03-31,"102.3014","6.6000"
2016-04-30,"102.3279","5.7300"
2016-05-31,"102.0390","4.8400"
2016-06-30,"101.8795","4.4800"
2016-07-31,"101.7651","3.4700"
2016-08-31,"101.3398","2.1400"
2016-09-30,"101.9202","1.8200"
2016-10-31,"102.0959","0.9000"
2016-11-30,"102.2523","-1.0500"
2016-12-31,"102.0765","-3.4200"
2017-01-31,"102.5491","-4.4000"
2017-02-28,"100.8020","-7.0000"
2017-03-31,"100.9171","-6.6800"
2017-04-30,"101.1658","-5.2300"
2017-05-31,"101.5171","-3.9800"
2017-06-30,"101.4958","-4.0000"
2017-07-31,"101.4067","-4.0900"
2017-08-31,"101.7672","-4.5300"
2017-09-30,"101.6320","-5.2700"
2017-10-31,"101.8684","-5.0300"
2017-11-30,"101.7346","-4.0700"
2017-12-31,"101.8482","-3.1000"
2018-01-31,"101.4680","-2.8000"
2018-02-28,"102.9039","-0.8000"
2018-03-31,"102.0567","-1.0400"
2018-04-30,"101.8023","-1.6000"
2018-05-31,"101.7505","-2.3500"
2018-06-30,"101.8536","-2.8500"
2018-07-31,"102.0594","-2.5400"
2018-08-31,"102.3031","-1.8000"
2018-09-30,"102.4724","-1.1300"
2018-10-31,"102.5432","-0.7600"
2018-11-30,"102.1750","-0.5200"
2018-12-31,"101.8607","0.9600"
2019-01-31,"101.7404","1.6400"
2019-02-28,"101.4868","1.3900"
2019-03-31,"102.2764","1.8800"
2019-04-30,"102.5399","1.6400"
2019-05-31,"102.7428","2.1400"
2019-06-30,"102.6814","2.6800"
2019-07-31,"102.7826","3.0800"
2019-08-31,"102.8435","3.6400"
2019-09-30,"103.0230","4.2200"
2019-10-31,"103.7551","5.3600"
2019-11-30,"104.4884","5.8900"
2019-12-31,"104.4552","4.9600"
2020-01-31,"105.3846","5.2800"
2020-02-29,"105.1748","5.5700"
2020-03-31,"104.2701","5.7700"
2020-04-30,"103.2920","6.4000"
2020-05-31,"102.4377","6.1400"
2020-06-30,"102.4834","5.4800"
2020-07-31,"102.6959","5.1000"
2020-08-31,"102.3756","4.3800"
2020-09-30,"101.7175","3.8200"
2020-10-31,"100.5000","2.6000"
2020-11-30,"99.5000","1.0000"
2020-12-31,"100.2000","0.6000"
2021-01-31,"99.7000","-0.6000"
2021-02-28,"99.8000","-1.9000"
2021-03-31,"100.4000","-4.0000"
2021-04-30,"100.9000","-5.9000"
2021-05-31,"101.3000","-7.7000"
2021-06-30,"101.1000","-7.7000"
2021-07-31,"101.0000","-8.0000"
2021-08-31,"100.8000","-8.7000"
2021-09-30,"100.7000","-10.0000"
2021-10-31,"101.5000","-12.0000"
2021-11-30,"102.3000","-10.6000"
2021-12-31,"101.5000","-8.8000"
2022-01-31,"100.9000","-8.2000"
2022-02-28,"100.9000","-7.9000"
2022-03-31,"101.5000","-6.8000"
2022-04-30,"102.1000","-5.9000"
2022-05-31,"102.1000","-4.3000"
2022-06-30,"102.5000","-3.6000"
2022-07-31,"102.7000","-1.5000"
2022-08-31,"102.5000","0.2000"
2022-09-30,"102.8000","1.8520"
2022-10-31,"102.1000","3.4000"
2022-11-30,"101.6000","2.9000"
2022-12-31,"101.8000","2.5000"
2023-01-31,"102.1000","2.9000"
2023-02-28,"101.0000","2.4000"
2023-03-31,"100.7000","3.2000"
2023-04-30,"100.1000","3.7000"
2023-05-31,"100.2000","4.8000"
2023-06-30,"100.0000","5.4000"
2023-07-31,"99.7000","4.1000"
2023-08-31,"100.1000","3.1000"
2023-09-30,"100.0000","2.5000"
2023-10-31,"99.8000","2.4000"
2023-11-30,"99.5000","2.5000"
2023-12-31,"99.7000","2.4000"
2024-01-31,"99.2000","1.7000"
2024-02-29,"100.7000","3.4000"
2024-03-31,"100.1000","2.9000"
2024-04-30,"100.3000","2.8000"
2024-05-31,"100.3000","1.7000"
2024-06-30,"100.2000","1.0000"
2024-07-31,"100.5000","1.3000"
2024-08-31,"100.6000","2.4000"
2024-09-30,"100.4000","3.2000"
2024-10-31,"100.3000","3.2000"
2024-11-30,"100.2000","2.7000"
2024-12-31,"100.1000","2.4000"
2025-01-31,"100.5000","2.8000"
2025-02-28,"99.3000","1.5000"
2025-03-31,"99.9000","2.4000"
2025-04-30,"99.9000","2.6000"
2025-05-31,"99.9000","3.2000"
2025-06-30,"100.1000","3.7000"
2025-07-31,"100.0000","3.6000"
2025-08-31,"99.6000","2.5000"
2025-09-30,,
2025-10-31,,
2025-11-30,,
2025-12-31,,
